Path;SteerAngle;Throttle;Brake;Speed;X_Position;Y_Position;Pitch;Yaw;Roll
C:\Users\adeda\OneDrive\Documents\RoboticsUdacity\IMG\robocam_2022_06_30_13_51_28_122.jpg;-14.47993;0.4478856;0;0.02158802;99.67196;85.59133;0.06478515;51.85044;-0.001752967
C:\Users\adeda\OneDrive\Documents\RoboticsUdacity\IMG\robocam_2022_06_30_13_51_28_166.jpg;-11.96584;0.5735902;0;0.04909772;99.67373;85.5933;0.1181716;51.76897;-0.005141309
C:\Users\adeda\OneDrive\Documents\RoboticsUdacity\IMG\robocam_2022_06_30_13_51_28_206.jpg;-13.95915;0.6732558;0;0.05719084;99.67675;85.59621;0.2020579;51.7382;359.9825
C:\Users\adeda\OneDrive\Documents\RoboticsUdacity\IMG\robocam_2022_06_30_13_51_28_257.jpg;-15;0.8247027;0;0.07081313;99.6814;85.60075;0.3210673;51.42538;359.9678
C:\Users\adeda\OneDrive\Documents\RoboticsUdacity\IMG\robocam_2022_06_30_13_51_28_307.jpg;-15;0.9741102;0;0.1080841;99.68625;85.60578;0.4434851;51.31421;359.963
C:\Users\adeda\OneDrive\Documents\RoboticsUdacity\IMG\robocam_2022_06_30_13_51_28_357.jpg;-15;1;0;0.155519;99.69542;85.61526;0.6508061;51.13649;359.9698
C:\Users\adeda\OneDrive\Documents\RoboticsUdacity\IMG\robocam_2022_06_30_13_51_28_407.jpg;-15;1;0;0.1900815;99.70288;85.62283;0.8035191;50.97408;359.9808
C:\Users\adeda\OneDrive\Documents\RoboticsUdacity\IMG\robocam_2022_06_30_13_51_28_448.jpg;-15;1;0;0.2493703;99.71201;85.6319;0.9807971;50.79299;-0.005330382
C:\Users\adeda\OneDrive\Documents\RoboticsUdacity\IMG\robocam_2022_06_30_13_51_28_489.jpg;-12.97908;1;0;0.2900414;99.72206;85.64162;1.155701;50.53149;0.00223027
C:\Users\adeda\OneDrive\Documents\RoboticsUdacity\IMG\robocam_2022_06_30_13_51_28_532.jpg;-10.48562;1;0;0.3167304;99.73254;85.65179;1.299423;50.31506;0.0006250697
C:\Users\adeda\OneDrive\Documents\RoboticsUdacity\IMG\robocam_2022_06_30_13_51_28_573.jpg;-8.01531;1;0;0.3541725;99.74303;85.662;1.339399;50.16637;-0.001054432
C:\Users\adeda\OneDrive\Documents\RoboticsUdacity\IMG\robocam_2022_06_30_13_51_28_614.jpg;-5.500573;1;0;0.3952865;99.75737;85.67683;1.183426;49.92559;0.001968902
C:\Users\adeda\OneDrive\Documents\RoboticsUdacity\IMG\robocam_2022_06_30_13_51_28_657.jpg;-2.99499;1;0;0.4296352;99.7683;85.6889;1.108;49.78113;0.003874962
C:\Users\adeda\OneDrive\Documents\RoboticsUdacity\IMG\robocam_2022_06_30_13_51_28_698.jpg;-0.4793343;1;0;0.4730662;99.78044;85.70282;1.07272;49.76693;0.006389508
C:\Users\adeda\OneDrive\Documents\RoboticsUdacity\IMG\robocam_2022_06_30_13_51_28_749.jpg;-0.54369;1;0;0.4980712;99.79325;85.71769;1.05234;49.60195;0.01106746
C:\Users\adeda\OneDrive\Documents\RoboticsUdacity\IMG\robocam_2022_06_30_13_51_28_790.jpg;-2.512698;1;0;0.5274137;99.80762;85.73383;1.064596;49.57957;0.002045061
C:\Users\adeda\OneDrive\Documents\RoboticsUdacity\IMG\robocam_2022_06_30_13_51_28_831.jpg;-4.974535;1;0;0.5789959;99.82313;85.7512;1.099017;49.44536;0.0006756993
C:\Users\adeda\OneDrive\Documents\RoboticsUdacity\IMG\robocam_2022_06_30_13_51_28_874.jpg;-7.019143;1;0;0.6092675;99.8398;85.76926;1.145258;49.27004;-0.001392303
C:\Users\adeda\OneDrive\Documents\RoboticsUdacity\IMG\robocam_2022_06_30_13_51_28_924.jpg;-9.975354;1;0;0.6262665;99.867;85.79726;1.216356;48.80392;-0.005601697
C:\Users\adeda\OneDrive\Documents\RoboticsUdacity\IMG\robocam_2022_06_30_13_51_28_965.jpg;-8.447173;1;0;0.678221;99.88607;85.81646;1.235461;48.54497;0.001166819
C:\Users\adeda\OneDrive\Documents\RoboticsUdacity\IMG\robocam_2022_06_30_13_51_29_007.jpg;-5.911099;1;0;0.7146295;99.90593;85.83637;1.233865;48.25044;0.001564903
C:\Users\adeda\OneDrive\Documents\RoboticsUdacity\IMG\robocam_2022_06_30_13_51_29_049.jpg;-3.389282;1;0;0.7594663;99.92673;85.85767;1.232633;47.98471;0.001987858
C:\Users\adeda\OneDrive\Documents\RoboticsUdacity\IMG\robocam_2022_06_30_13_51_29_091.jpg;-3.93053;1;0;0.761468;99.9481;85.87995;1.221505;47.79839;0.0006084786
C:\Users\adeda\OneDrive\Documents\RoboticsUdacity\IMG\robocam_2022_06_30_13_51_29_131.jpg;-6.845851;1;0;0.8235509;99.97079;85.90308;1.210914;47.54909;0.001026866
C:\Users\adeda\OneDrive\Documents\RoboticsUdacity\IMG\robocam_2022_06_30_13_51_29_173.jpg;-8.347856;1;0;0.8540359;99.99474;85.92661;1.195316;47.19436;0.00222379
